word,rev_word
UHMHvBRivFwWmkZ,ZkmWwFviRBvHMHU
booUinUbLGkhx,xhkGLbUniUoob
yO,Oy
XINdMdQgP,PgQdMdNIX
d,d
ACyh,hyCA
qESjnSROatAQgQHrNM,MNrHQgQAtaORSnjSEq
AgGUN,NUGgA
shYg,gYhs
mMmXqHmwTAskcJFn,nFJcksATwmHqXmMm
vpaaQfhKQFjfXGeU,UeGXfjFQKhfQaapv
qPoD,DoPq
qDdglcsxZR,RZxsclgdDq
BVhgWcaiQPk,kPQiacWghVB
wCNrUfxvlhz,zhlvxfUrNCw
DrySEZAPZkhiS,SihkZPAZESyrD
kg,gk
LEZKRClNyXwNbR,RbNwXyNlCRKZEL
EFhAC,CAhFE
eq,qe
aTRHXVKUKoQ,QoKUKVXHRTa
HHSSNgBQUpE,EpUQBgNSSHH
QRPyjJNdaPkG,GkPadNJjyPRQ
FkeWFupvrdGoJPyz,zyPJoGdrvpuFWekF
fDCZKCfF,FfCKZCDf
uhFVPbgzAcJJafY,YfaJJcAzgbPVFhu
NOtGJnPQDvxdoDvJXNME,EMNXJvDodxvDQPnJGtON
TChgWQoavwOZ,ZOwvaoQWghCT
JHxSgckFiT,TiFkcgSxHJ
gqNmmhznDYmTvg,gvTmYDnzhmmNqg
cORLhXCDQLGiFa,aFiGLQDCXhLROc
VdJBLEGXlSLlUigyQ,QygiUlLSlXGELBJdV
MuGyAMSWprzvsCZiiAMS,SMAiiZCsvzrpWSMAyGuM
tSJuTVJOnmnNTsRwR,RwRsTNnmnOJVTuJSt
TPlGI,IGlPT
ThWwJELKQTA,ATQKLEJwWhT
sBZaHgbyjdQdmrWYks,skYWrmdQdjybgHaZBs
jdSYsnWIc,cIWnsYSdj
CgNRVJoVPJyp,pyJPVoJVRNgC
YYZSsSQdyyAYRuJda,adJuRYAyydQSsSZYY
mNXCoOTTP,PTTOoCXNm
WLIVMmXUmsCl,lCsmUXmMVILW
llV,Vll
hycBrJqikLqavDTjc,cjTDvaqLkiqJrBcyh
uMdXO,OXdMu
QtFYKJweYTuHolHeYGkA,AkGYeHloHuTYewJKYFtQ
IzfwonQvvxsnWNHEJW,WJEHNWnsxvvQnowfzI
h,h
CpPNNpcRuyYh,hYyuRcpNNPpC
qIUsbHXxGZGCF,FCGZGxXHbsUIq
sP,Ps
uGfgkXI,IXkgfGu
aOenQOXnRBgnISVXBP,PBXVSIngBRnXOQneOa
VRj,jRV
D,D
cfedlYqJeKo,oKeJqYldefc
AyCOzBuby,ybuBzOCyA
IaPU,UPaI
eWVLcSewGgsYRtMfsWCy,yCWsfMtRYsgGweScLVWe
QbEkIoiVzYZIs,sIZYzVioIkEbQ
tRYUP,PUYRt
aJJjhcaKMzIJ,JIzMKachjJJa
tnV,Vnt
nAPGjkloNqmh,hmqNolkjGPAn
QZKdWJ,JWdKZQ
PJesQeqgmULFvwi,iwvFLUmgqeQseJP
gsNemuFC,CFumeNsg
NQtSLjKKxZu,uZxKKjLStQN
kaupYoTVPBrxiR,RixrBPVToYpuak
EDCwXtFJglP,PlgJFtXwCDE
friImqUOeUebGObLLzXL,LXzLLbOGbeUeOUqmIirf
cJqIIEP,PEIIqJc
xzoXL,LXozx
iDGGfzxGaQ,QaGxzfGGDi
ZNRkWGiC,CiGWkRNZ
lKKQjV,VjQKKl
wcoWFoeqxocQnHYx,xYHnQcoxqeoFWocw
EDccPugTHOrVq,qVrOHTguPccDE
IKlyPyxLPeHqyoHzwwF,FwwzHoyqHePLxyPylKI
MaGiCkoeGPrnjlkx,xkljnrPGeokCiGaM
ThQoAZvUhEREEnLkPAbp,pbAPkLnEEREhUvZAoQhT
iK,Ki
kiOGcKjdkqlHzMKObUU,UUbOKMzHlqkdjKcGOik
fnCMEEkoAM,MAokEEMCnf
YLXlN,NlXLY
qkURvDMLeoyyigbmH,HmbgiyyoeLMDvRUkq
RAjMglENMcYIGWhfE,EfhWGIYcMNElgMjAR
MIaXR,RXaIM
HAxcSHBoZEYXyw,wyXYEZoBHScxAH
ZVWSKgBiqEXofsMIAqm,mqAIMsfoXEqiBgKSWVZ
T,T
K,K
hHayPnSZuAxgjBPLq,qLPBjgxAuZSnPyaHh
IBKxNrRzW,WzRrNxKBI
AJYJElx,xlEJYJA
JEqtKwXTzViQhVoCYS,SYCoVhQiVzTXwKtqEJ
gnGzYv,vYzGng
NSRTdkyOaZfjEMBfeq,qefBMEjfZaOykdTRSN
xfMcUyzN,NzyUcMfx
sTMdXlOFCamQZHsmc,cmsHZQmaCFOlXdMTs
GHSoNkRcxpPakfrXzwQz,zQwzXrfkaPpxcRkNoSHG
LmHaVTefJsUJL,LJUsJfeTVaHmL
wroMmDzKaqlA,AlqaKzDmMorw
gJeGsvhZGqIYKqSCy,yCSqKYIqGZhvsGeJg
EXpWvXDRDLbEhqeyOYo,oYOyeqhEbLDRDXvWpXE
ZuAwHIaS,SaIHwAuZ
psfzRVveJ,JevVRzfsp
EuwnKr,rKnwuE
VRmFVm,mVFmRV
VpqnompN,NpmonqpV
jXghfRQFNaWI,IWaNFQRfhgXj
Ex,xE
uFKrFlWGrzoWKidHZBEI,IEBZHdiKWozrGWlFrKFu
Gw,wG
RXlDhSHDuSaaR,RaaSuDHShDlXR
yLguxNq,qNxugLy
JqprEN,NErpqJ
xlFBnASWxxz,zxxWSAnBFlx
ClKiKRogU,UgoRKiKlC
ZpJBymjZV,VZjmyBJpZ
EZalA,AlaZE
iOHIUuYFtqJKdzgS,SgzdKJqtFYuUIHOi
dnqEOg,gOEqnd
VvqxxJJZqwbAhwR,RwhAbwqZJJxxqvV
mKKPPIlXswuRGFXVCfyN,NyfCVXFGRuwsXlIPPKKm
DOjkOZvAON,NOAvZOkjOD
zefkvouuPsTrMPzrCXx,xXCrzPMrTsPuuovkfez
HCAklbiUpQqVSVfnkzg,gzknfVSVqQpUiblkACH
eEJd,dJEe
X,X
HWfgqNjfPytop,potyPfjNqgfWH
COiiHkbcQw,wQcbkHiiOC
EDIrJCiSIlL,LlISiCJrIDE
DOVOKBHOOItwEIoZfCtx,xtCfZoIEwtIOOHBKOVOD
qjtaaHWiwsEIaS,SaIEswiWHaatjq
WEtaXBZsMoYaJxmA,AmxJaYoMsZBXatEW
BzpkTVPyyoqfBOpHWZ,ZWHpOBfqoyyPVTkpzB
ZSRrsPVIZrAmelishODN,NDOhsilemArZIVPsrRSZ
rSNFmubjdIblgsr,rsglbIdjbumFNSr
TCUao,oaUCT
jaF,Faj
vAtYZFx,xFZYtAv
SYcvfWjdrXzeIEl,lEIezXrdjWfvcYS
qyahXTp,pTXhayq
XCpVcmDVXgHQn,nQHgXVDmcVpCX
yRtukOUcVJHhqEOt,tOEqhHJVcUOkutRy
xdQnhpO,OphnQdx
uakYrLhzYpacLY,YLcapYzhLrYkau
SMjxXfpkFfRNvWOd,dOWvNRfFkpfXxjMS
wP,Pw
SIYgi,igYIS
ouJYPWwZCUmbSywU,UwySbmUCZwWPYJuo
qcFTC,CTFcq
sISFmKlIwuUDrMJkeH,HekJMrDUuwIlKmFSIs
CsqIx,xIqsC
aXOGyUlbNxXNpuU,UupNXxNblUyGOXa
QIy,yIQ
HRFXJjN,NjJXFRH
uAPuhgHQec,ceQHghuPAu
lcmgF,Fgmcl
gcKPyQF,FQyPKcg
NSLqdxoMTeanPFfDZ,ZDfFPnaeTMoxdqLSN
xJ,Jx
xYTdNrHcUetenH,HneteUcHrNdTYx
gUoI,IoUg
mmHQpKOlJVJAV,VAJVJlOKpQHmm
XOKw,wKOX
SQBgkYlJzGvQkIM,MIkQvGzJlYkgBQS
wuJuxAWOBUuMpKI,IKpMuUBOWAxuJuw
yXJVqxC,CxqVJXy
zaUcsMbHitatonu,unotatiHbMscUaz
X,X
JGJKKjgcD,DcgjKKJGJ
jiqxLpoqZtfK,KftZqopLxqij
KnUeUuYElFSSK,KSSFlEYuUeUnK
